date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:36	185682/185682	---MCZ	200	added ('OK')	text/html	etag:cacheable:788f7a2df45ada870b49dee7934c6615	https://campe-theme.myshopify.com/	C:/My%20Web%20Sites/campain/campe-theme.myshopify.com/index.html	(from )
21:35:38	455/455	---MCZ	200	added ('OK')	text/plain	etag:cacheable:0caeee41c3774feb330b75452b77eda6	https://campe-theme.myshopify.com/robots.txt		(from )
21:35:39	483/483	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Feb%202021%2014:35:38%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/favicon.png?v=3530842684889585595	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/faviconb2ae.png	(from https://campe-theme.myshopify.com/)
21:35:39	1601/1601	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Feb%202021%2022:04:52%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/logo.png?v=9459860169128602861	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/logo7ae6.png	(from https://campe-theme.myshopify.com/)
21:35:45	206283/206283	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Feb%202021%2014:35:44%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/home-sections.scss.css?v=6669088938123281303	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/home-sections.scsse361.css	(from https://campe-theme.myshopify.com/)
21:35:46	56370/56370	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2011:21:19%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/style.css?v=10485676959163412816	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/styled2ca.css	(from https://campe-theme.myshopify.com/)
21:35:47	472878/472878	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Feb%202021%2014:35:42%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/frame.scss.css?v=15828069592809360141	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/frame.scss9af4.css	(from https://campe-theme.myshopify.com/)
21:35:47	16660/16660	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2011:20:28%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/prettyPhoto.css?v=12757784511525754184	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/prettyPhotode1c.css	(from https://campe-theme.myshopify.com/)
21:35:48	23848/23848	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2011:19:56%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/animate.css?v=17046942425478865338	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/animatea14e.css	(from https://campe-theme.myshopify.com/)
21:35:50	55465/55465	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2011:20:08%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/font-all.min.css?v=14597452402338798491	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/font-all.minc83d.css	(from https://campe-theme.myshopify.com/)
21:35:51	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-15283%22	http://code.jquery.com/jquery-3.2.1.min.js	C:/My%20Web%20Sites/campain/code.jquery.com/jquery-3.2.1.min.js	(from https://campe-theme.myshopify.com/)
21:35:52	37317/37317	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2011:21:19%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/header.js?v=10373096426439681222	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/header6070.js	(from https://campe-theme.myshopify.com/)
21:35:53	9123/9123	---M--	200	added ('OK')	image/gif	date:Fri,%2019%20Feb%202021%2014:35:52%20GMT	http://cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/loading.gif?v=9255329245202621775	C:/My%20Web%20Sites/campain/cdn.shopify.com/s/files/1/0437/7038/0448/t/2/assets/loading9491.gif	(from https://campe-theme.myshopify.com/)
